Method,Schema,Dataset,Metric,F1,Precision,Recall
EnhancedVoting,mts,machine-3,event-based f1 under pa with mode log,0.5453330852817216,0.8127091940489067,0.4260903696021664
EnhancedVoting,mts,machine-3,event-based f1 under pa with mode squeeze,0.4627563995985043,0.6659976387249112,0.39358974358974347
EventMaster,mts,machine-1,best f1 under pa,0.5901786319250294,0.703371640263585,0.6569735364486422
EventMaster,mts,machine-1,event-based f1 under pa with mode log,0.2582017193079994,0.5130901691786383,0.2736453947218596
EventMaster,mts,machine-1,event-based f1 under pa with mode squeeze,0.1908423708123587,0.5502234215413182,0.20012591575091576
EventMaster,mts,machine-2,best f1 under pa,0.639598722794636,0.816186924942544,0.6161475571545778
EventMaster,mts,machine-2,event-based f1 under pa with mode log,0.35875960033150567,0.6075596355153722,0.3520734287400954
EventMaster,mts,machine-2,event-based f1 under pa with mode squeeze,0.29712084181876147,0.5317357733883417,0.31595164095164086
EventMaster,mts,machine-3,best f1 under pa,0.4078785798664526,0.44567798212552034,0.7330384138438194
EventMaster,mts,machine-3,event-based f1 under pa with mode log,0.18792030779095975,0.3427520506193868,0.4946898987280112
EventMaster,mts,machine-3,event-based f1 under pa with mode squeeze,0.14423615249032715,0.3063620824791572,0.36579254079254064
HMMoE,mts,machine-1,best f1 under pa,0.8968922070153068,0.9137323096936327,0.9092403281095923
HMMoE,mts,machine-1,event-based f1 under pa with mode log,0.7118924725629522,0.8343585145974853,0.692440880663348
HMMoE,mts,machine-1,event-based f1 under pa with mode squeeze,0.6142373041400495,0.6910576923076922,0.6571657509157508
HMMoE,mts,machine-2,best f1 under pa,0.973355433540052,0.96362455103657,0.9843103856769417
HMMoE,mts,machine-2,event-based f1 under pa with mode log,0.8140100655415696,0.8639941621207772,0.7934943184943185
HMMoE,mts,machine-2,event-based f1 under pa with mode squeeze,0.7310648501824965,0.864518197851531,0.6825415325415325
HMMoE,mts,machine-3,best f1 under pa,0.9310467762314887,0.9658816360736605,0.9097513715659012
HMMoE,mts,machine-3,event-based f1 under pa with mode log,0.7551549866615823,0.8180616786014887,0.735182391715967
HMMoE,mts,machine-3,event-based f1 under pa with mode squeeze,0.6358276315214109,0.7095267556605317,0.6659620682347953
HyperTimesNet,mts,machine-1,best f1 under pa,0.8860062115037599,0.8933237862356235,0.8809677187127212
